FECHA,ARS_BLUE
2023-08-14,695.0
2023-08-11,605.0
2023-08-10,602.0
2023-08-09,600.0
2023-08-08,598.0
2023-08-07,596.0
2023-08-04,574.0
2023-08-03,570.0
2023-08-02,560.0
2023-08-01,560.0
2023-07-31,550.0
2023-07-28,551.0
2023-07-27,553.0
2023-07-26,546.0
2023-07-25,536.0
2023-07-24,552.0
2023-07-21,529.0
2023-07-20,525.0
2023-07-19,525.0
2023-07-18,520.0
2023-07-17,520.0
2023-07-14,522.0
2023-07-13,512.0
2023-07-12,503.0
2023-07-11,498.0
2023-07-10,495.0
2023-07-07,492.0
2023-07-06,491.0
2023-07-05,492.0
2023-07-04,493.0
2023-07-03,495.0
2023-06-30,494.0
2023-06-29,494.0
2023-06-28,496.0
2023-06-27,496.0
2023-06-26,493.0
2023-06-23,495.0
2023-06-22,493.0
2023-06-21,492.0
2023-06-20,492.0
2023-06-19,492.0
2023-06-16,492.0
2023-06-15,487.0
2023-06-14,496.0
2023-06-13,489.0
2023-06-12,484.0
2023-06-09,483.0
2023-06-08,484.0
2023-06-07,484.0
2023-06-06,485.0
2023-06-05,486.0
2023-06-02,490.0
2023-06-01,490.0
2023-05-31,490.0
2023-05-30,493.0
2023-05-29,492.0
2023-05-26,493.0
2023-05-25,493.0
2023-05-24,493.0
2023-05-23,492.0
2023-05-22,490.0
2023-05-19,486.0
2023-05-18,488.0
2023-05-17,487.0
2023-05-16,488.0
2023-05-15,483.0
2023-05-12,474.0
2023-05-11,475.0
2023-05-10,472.0
2023-05-09,471.0
2023-05-08,470.0
2023-05-05,469.0
2023-05-04,468.0
2023-05-03,469.0
2023-05-02,474.0
2023-05-01,469.0
2023-04-28,469.0
2023-04-27,467.0
2023-04-26,474.0
2023-04-25,495.0
2023-04-24,462.0
2023-04-21,442.0
2023-04-20,432.0
2023-04-19,423.0
2023-04-18,418.0
2023-04-17,408.0
2023-04-14,400.0
2023-04-13,400.0
2023-04-12,398.0
2023-04-11,394.0
2023-04-10,391.0
2023-04-07,392.0
2023-04-06,392.0
2023-04-05,392.0
2023-04-04,392.0
2023-04-03,392.0
2023-03-31,395.0
2023-03-30,393.0
2023-03-29,393.0
2023-03-28,397.0
2023-03-27,390.0
2023-03-24,389.0
2023-03-23,389.0
2023-03-22,391.0
2023-03-21,394.0
2023-03-20,386.0
2023-03-17,383.0
2023-03-16,383.0
2023-03-15,379.0
2023-03-14,377.0
2023-03-13,377.0
2023-03-10,373.0
2023-03-09,373.0
2023-03-08,378.0
2023-03-07,371.0
2023-03-06,372.0
2023-03-03,375.0
2023-03-02,377.0
2023-03-01,375.0
2023-02-28,375.0
2023-02-27,377.0
2023-02-24,379.0
2023-02-23,379.0
2023-02-22,377.0
2023-02-21,377.0
