FECHA,ARS_USDT
2020-01-01,59.803
2020-01-02,59.901
2020-01-03,59.806
2020-01-04,59.647
2020-01-05,59.702
2020-01-06,59.662
2020-01-07,59.622
2020-01-08,59.621
2020-01-09,59.597
2020-01-10,59.703
2020-01-11,59.736
2020-01-12,59.588
2020-01-13,59.623
2020-01-14,59.848
2020-01-15,59.92
2020-01-16,59.837
2020-01-17,59.789
2020-01-18,59.748
2020-01-19,59.854
2020-01-20,59.799
2020-01-21,59.896
2020-01-22,59.968
2020-01-23,59.912
2020-01-24,60.058
2020-01-25,59.957
2020-01-26,59.936
2020-01-27,59.958
2020-01-28,59.924
2020-01-29,60.016
2020-01-30,59.919
2020-01-31,60.171
2020-02-01,59.965
2020-02-02,60.133
2020-02-03,60.215
2020-02-04,60.468
2020-02-05,60.388
2020-02-06,60.42
2020-02-07,60.481
2020-02-08,60.638
2020-02-09,60.615
2020-02-10,60.905
2020-02-11,60.958
2020-02-12,61.053
2020-02-13,61.123
2020-02-14,61.248
2020-02-15,61.3
2020-02-16,61.367
2020-02-17,61.24
2020-02-18,61.745
2020-02-19,61.506
2020-02-20,61.566
2020-02-21,61.758
2020-02-22,61.658
2020-02-23,61.748
2020-02-24,61.853
2020-02-25,61.861
2020-02-26,61.663
2020-02-27,61.953
2020-02-28,62.048
2020-02-29,62.126
2020-03-01,62.045
2020-03-02,62.078
2020-03-03,62.204
2020-03-04,62.291
2020-03-05,62.471
2020-03-06,62.276
2020-03-07,62.459
2020-03-08,62.499
2020-03-09,61.616
2020-03-10,62.663
2020-03-11,62.565
2020-03-12,62.506
2020-03-13,61.884
2020-03-14,63.456
2020-03-15,62.226
2020-03-16,62.688
2020-03-17,63.316
2020-03-18,63.197
2020-03-19,63.374
2020-03-20,63.552
2020-03-21,63.668
2020-03-22,63.262
2020-03-23,63.816
2020-03-24,63.838
2020-03-25,63.649
2020-03-26,64.047
2020-03-27,64.408
2020-03-28,64.118
2020-03-29,64.213
2020-03-30,64.675
2020-03-31,64.57
2020-04-01,64.209
2020-04-02,64.457
2020-04-03,64.256
2020-04-04,64.929
2020-04-05,64.852
2020-04-06,64.847
2020-04-07,64.901
2020-04-08,64.943
2020-04-09,65.018
2020-04-10,65.062
2020-04-11,64.732
2020-04-12,64.71
2020-04-13,64.391
2020-04-14,64.659
2020-04-15,65.455
2020-04-16,65.462
2020-04-17,65.882
2020-04-18,65.883
2020-04-19,65.808
2020-04-20,65.525
2020-04-21,66.313
2020-04-22,66.132
2020-04-23,66.248
2020-04-24,65.997
2020-04-25,66.36
2020-04-26,66.314
