timestamp,price
2020-04-11,0.96
2020-04-12,0.78
2020-04-13,0.88
2020-04-14,0.79
2020-04-15,0.67
2020-04-16,0.64
2020-04-17,0.69
2020-04-18,0.66
2020-04-19,0.68
2020-04-20,0.61
2020-04-21,0.53
2020-04-22,0.57
2020-04-23,0.68
2020-04-24,0.62
2020-04-25,0.62
2020-04-26,0.65
2020-04-27,0.64
2020-04-28,0.57
2020-04-29,0.66
2020-04-30,0.74
2020-05-01,0.69
2020-05-02,0.72
2020-05-03,0.71
2020-05-04,0.69
2020-05-05,0.67
2020-05-06,0.65
2020-05-07,0.62
2020-05-08,0.61
2020-05-09,0.61
2020-05-10,0.6
2020-05-11,0.54
2020-05-12,0.51
2020-05-13,0.53
2020-05-14,0.55
2020-05-15,0.57
2020-05-16,0.56
2020-05-17,0.6
2020-05-18,0.62
2020-05-19,0.65
2020-05-20,0.62
2020-05-21,0.58
2020-05-22,0.61
2020-05-23,0.61
2020-05-24,0.61
2020-05-25,0.55
2020-05-26,0.6
2020-05-27,0.57
2020-05-28,0.59
2020-05-29,0.57
2020-05-30,0.58
2020-05-31,0.59
2020-06-01,0.58
2020-06-02,0.58
2020-06-03,0.57
2020-06-04,0.59
2020-06-05,0.59
2020-06-06,0.66
2020-06-07,0.63
2020-06-08,0.62
2020-06-09,0.67
2020-06-10,0.66
2020-06-11,0.65
2020-06-12,0.57
2020-06-13,0.59
2020-06-14,0.61
2020-06-15,0.59
2020-06-16,0.57
2020-06-17,0.59
2020-06-18,0.58
2020-06-19,0.62
2020-06-20,0.69
2020-06-21,0.64
2020-06-22,0.67
2020-06-23,0.73
2020-06-24,0.71
2020-06-25,0.74
2020-06-26,0.71
2020-06-27,0.74
2020-06-28,0.71
2020-06-29,0.8
2020-06-30,0.85
2020-07-01,0.86
2020-07-02,0.83
2020-07-03,0.77
2020-07-04,0.77
2020-07-05,0.78
2020-07-06,0.69
2020-07-07,0.71
2020-07-08,0.75
2020-07-09,0.8
2020-07-10,0.85
2020-07-11,0.91
2020-07-12,0.92
2020-07-13,1.02
2020-07-14,1.18
2020-07-15,1.15
2020-07-16,1.29
2020-07-17,0.87
2020-07-18,0.98
2020-07-19,0.97
2020-07-20,0.92
2020-07-21,0.87
2020-07-22,0.98
2020-07-23,1.04
2020-07-24,1.06
2020-07-25,1.0
2020-07-26,1.25
2020-07-27,1.6
2020-07-28,1.78
2020-07-29,1.78
2020-07-30,1.66
2020-07-31,1.69
2020-08-01,1.54
2020-08-02,1.53
2020-08-03,1.75
2020-08-04,1.8
2020-08-05,1.9
2020-08-06,1.76
2020-08-07,2.2
2020-08-08,2.07
2020-08-09,2.47
2020-08-10,2.66
2020-08-11,3.14
2020-08-12,3.26
2020-08-13,3.74
2020-08-14,3.73
2020-08-15,3.42
2020-08-16,3.17
2020-08-17,3.39
2020-08-18,3.1
2020-08-19,3.33
2020-08-20,2.9
2020-08-21,3.21
2020-08-22,2.93
2020-08-23,3.02
2020-08-24,3.33
2020-08-25,3.34
2020-08-26,3.26
2020-08-27,3.55
2020-08-28,3.43
2020-08-29,4.01
2020-08-30,3.97
2020-08-31,4.44
2020-09-01,4.79
2020-09-02,4.3
2020-09-03,4.18
2020-09-04,3.51
2020-09-05,3.54
2020-09-06,2.6
2020-09-07,3.09
2020-09-08,2.91
2020-09-09,2.47
2020-09-10,3.63
2020-09-11,3.45
2020-09-12,3.45
2020-09-13,3.33
2020-09-14,3.22
2020-09-15,3.26
2020-09-16,2.93
2020-09-17,2.55
2020-09-18,2.92
2020-09-19,3.08
2020-09-20,3.01
2020-09-21,2.87
2020-09-22,2.77
2020-09-23,2.94
2020-09-24,2.84
2020-09-25,3.13
2020-09-26,3.19
2020-09-27,3.14
2020-09-28,3.17
2020-09-29,2.96
2020-09-30,2.95
2020-10-01,2.9
2020-10-02,2.87
2020-10-03,2.63
2020-10-04,2.55
2020-10-05,2.52
2020-10-06,2.65
2020-10-07,2.17
2020-10-08,2.29
2020-10-09,2.36
2020-10-10,2.54
2020-10-11,2.41
2020-10-12,2.42
2020-10-13,2.58
2020-10-14,2.4
2020-10-15,2.32
2020-10-16,2.27
2020-10-17,2.14
2020-10-18,2.2
2020-10-19,2.21
2020-10-20,2.06
2020-10-21,1.89
2020-10-22,1.88
2020-10-23,1.95
2020-10-24,1.96
2020-10-25,1.91
2020-10-26,1.79
2020-10-27,1.68
2020-10-28,1.72
2020-10-29,1.52
2020-10-30,1.43
2020-10-31,1.44
2020-11-01,1.54
2020-11-02,1.6
2020-11-03,1.48
2020-11-04,1.41
2020-11-05,1.39
2020-11-06,1.41
2020-11-07,1.93
2020-11-08,2.03
2020-11-09,2.16
2020-11-10,2.03
2020-11-11,2.25
2020-11-12,2.0
2020-11-13,1.9
2020-11-14,2.02
2020-11-15,1.92
2020-11-16,2.04
2020-11-17,2.26
2020-11-18,2.2
2020-11-19,2.12
2020-11-20,2.07
2020-11-21,2.1
2020-11-22,2.38
2020-11-23,2.15
2020-11-24,2.27
2020-11-25,2.26
2020-11-26,2.26
2020-11-27,1.9
2020-11-28,1.86
2020-11-29,1.89
2020-11-30,1.91
2020-12-01,1.97
2020-12-02,1.98
2020-12-03,2.12
2020-12-04,2.1
2020-12-05,1.86
2020-12-06,1.98
2020-12-07,1.85
2020-12-08,1.83
2020-12-09,1.67
2020-12-10,1.66
2020-12-11,1.58
2020-12-12,1.45
2020-12-13,1.49
2020-12-14,1.57
2020-12-15,1.59
2020-12-16,1.75
2020-12-17,1.78
2020-12-18,1.68
2020-12-19,1.7
2020-12-20,1.67
2020-12-21,1.56
2020-12-22,1.54
2020-12-23,1.49
2020-12-24,1.21
2020-12-25,1.36
2020-12-26,1.45
2020-12-27,1.33
2020-12-28,1.31
2020-12-29,1.52
2020-12-30,1.68
2020-12-31,1.54
2021-01-01,1.52
2021-01-02,1.84
2021-01-03,1.8
2021-01-04,2.15
2021-01-05,2.42
2021-01-06,2.16
2021-01-07,1.92
2021-01-08,2.37
2021-01-09,3.23
2021-01-10,3.39
2021-01-11,3.47
2021-01-12,3.11
2021-01-13,3.59
2021-01-14,3.52
2021-01-15,3.28
2021-01-16,3.26
2021-01-17,3.45
2021-01-18,3.82
2021-01-19,3.78
2021-01-20,3.64
2021-01-21,3.73
2021-01-22,3.0
2021-01-23,3.34
2021-01-24,3.5
2021-01-25,3.63
2021-01-26,3.71
2021-01-27,4.03
2021-01-28,3.7
2021-01-29,3.82
2021-01-30,3.86
2021-01-31,4.23
2021-02-01,4.26
2021-02-02,4.59
2021-02-03,5.26
2021-02-04,5.72
2021-02-05,6.42
2021-02-06,6.71
2021-02-07,6.12
2021-02-08,6.66
2021-02-09,7.91
2021-02-10,7.84
2021-02-11,9.02
2021-02-12,9.2
2021-02-13,9.23
2021-02-14,8.71
2021-02-15,8.73
2021-02-16,8.85
2021-02-17,8.3
2021-02-18,8.23
2021-02-19,9.01
2021-02-20,11.44
2021-02-21,10.04
2021-02-22,11.11
2021-02-23,14.42
2021-02-24,15.16
2021-02-25,17.47
2021-02-26,13.81
2021-02-27,13.67
2021-02-28,13.31
2021-03-01,13.03
2021-03-02,15.03
2021-03-03,14.01
2021-03-04,14.13
2021-03-05,13.12
2021-03-06,12.63
2021-03-07,13.07
2021-03-08,13.92
2021-03-09,13.64
2021-03-10,14.87
2021-03-11,14.23
2021-03-12,15.98
2021-03-13,14.6
2021-03-14,15.32
2021-03-15,14.57
2021-03-16,14.16
2021-03-17,13.69
2021-03-18,14.28
2021-03-19,14.27
2021-03-20,14.18
2021-03-21,14.28
2021-03-22,14.31
2021-03-23,14.87
2021-03-24,14.19
2021-03-25,13.6
2021-03-26,12.96
2021-03-27,14.75
2021-03-28,16.57
2021-03-29,18.01
2021-03-30,18.88
2021-03-31,19.18
2021-04-01,19.49
2021-04-02,19.06
2021-04-03,19.74
2021-04-04,22.6
2021-04-05,24.02
2021-04-06,22.94
2021-04-07,24.99
2021-04-08,26.67
2021-04-09,27.01
2021-04-10,27.78
2021-04-11,26.83
2021-04-12,27.82
2021-04-13,28.52
2021-04-14,27.57
2021-04-15,26.45
2021-04-16,27.83
2021-04-17,25.28
2021-04-18,25.01
2021-04-19,32.43
2021-04-20,31.73
2021-04-21,31.69
2021-04-22,32.31
2021-04-23,39.04
2021-04-24,37.07
2021-04-25,40.74
2021-04-26,47.66
2021-04-27,44.5
2021-04-28,43.22
2021-04-29,45.04
2021-04-30,42.58
2021-05-01,43.0
2021-05-02,49.66
2021-05-03,46.93
2021-05-04,46.09
2021-05-05,42.7
2021-05-06,44.89
2021-05-07,43.44
2021-05-08,43.07
2021-05-09,45.69
2021-05-10,44.36
2021-05-11,42.96
2021-05-12,44.72
2021-05-13,43.62
2021-05-14,41.11
2021-05-15,42.87
2021-05-16,43.46
2021-05-17,47.18
2021-05-18,46.86
2021-05-19,56.2
2021-05-20,35.76
2021-05-21,44.53
2021-05-22,38.43
2021-05-23,31.61
2021-05-24,24.77
2021-05-25,30.99
2021-05-26,30.01
2021-05-27,35.65
2021-05-28,33.66
2021-05-29,29.02
2021-05-30,27.56
2021-05-31,28.56
2021-06-01,32.66
2021-06-02,30.99
2021-06-03,34.19
2021-06-04,39.71
2021-06-05,37.6
2021-06-06,39.34
2021-06-07,42.26
2021-06-08,38.19
2021-06-09,41.42
2021-06-10,42.08
2021-06-11,41.21
2021-06-12,36.09
2021-06-13,36.57
2021-06-14,38.82
2021-06-15,39.64
2021-06-16,39.7
2021-06-17,39.55
2021-06-18,39.33
2021-06-19,36.62
2021-06-20,35.26
2021-06-21,35.28
2021-06-22,26.6
2021-06-23,26.73
2021-06-24,30.88
2021-06-25,31.44
2021-06-26,29.24
2021-06-27,29.37
2021-06-28,31.67
2021-06-29,33.11
2021-06-30,33.92
2021-07-01,35.83
2021-07-02,33.56
2021-07-03,33.96
2021-07-04,34.47
2021-07-05,34.45
2021-07-06,33.12
2021-07-07,34.29
2021-07-08,36.66
2021-07-09,33.51
2021-07-10,33.53
2021-07-11,31.94
2021-07-12,32.12
2021-07-13,30.95
2021-07-14,29.16
2021-07-15,31.24
2021-07-16,28.32
2021-07-17,26.26
2021-07-18,26.79
2021-07-19,26.89
2021-07-20,24.82
2021-07-21,23.86
2021-07-22,26.67
2021-07-23,27.76
2021-07-24,28.38
2021-07-25,28.59
2021-07-26,28.32
2021-07-27,28.1
2021-07-28,27.95
2021-07-29,27.87
2021-07-30,31.42
2021-07-31,32.25
2021-08-01,36.25
2021-08-02,34.17
2021-08-03,33.28
2021-08-04,34.34
2021-08-05,35.91
2021-08-06,37.48
2021-08-07,39.54
2021-08-08,39.38
2021-08-09,37.67
2021-08-10,38.76
2021-08-11,40.66
2021-08-12,41.8
2021-08-13,41.19
2021-08-14,44.69
2021-08-15,44.06
2021-08-16,53.68
2021-08-17,62.28
2021-08-18,64.3
2021-08-19,74.0
2021-08-20,73.05
2021-08-21,78.45
2021-08-22,74.22
2021-08-23,73.13
2021-08-24,75.97
2021-08-25,71.21
2021-08-26,71.51
