BITCOIN;ETHEREUM;CARDANO;DECENTRALAND;MONERO
14093.61;776.08;0.75;0.1;357.18
15321.93;876.89;0.81;0.11;376.53
15583.89;963.06;1.08;0.16;395.26
15976.37;978.42;1.18;0.21;415.03
18336.92;1004.89;1.08;0.18;402.51
18343.66;1052.02;1.09;0.19;407.59
17039.87;1137.65;1.05;0.24;465.7
15900.37;1184.92;0.94;0.25;420.89
15604.72;1361.44;0.87;0.27;542.33
15509.27;1345.59;0.82;0.22;455.13
14050.57;1181.65;0.73;0.18;367.97
14759.29;1315.62;0.96;0.2;411.17
15193.31;1448.18;0.94;0.19;480.45
14476.59;1410;0.84;0.16;416.53
14412;1329.67;0.82;0.14;432.42
11723.91;1068.6;0.64;0.1;325.3
11415.39;1022.37;0.65;0.14;325.07
11569.42;1036.07;0.67;0.14;330.95
11758.47;1046.9;0.67;0.14;387.13
13260.27;1172.92;0.73;0.15;419.3
11703.5;1053.63;0.63;0.12;362.9
10991.6;1000.39;0.58;0.12;318.03
10894;991.67;0.56;0.15;309.33
11277.12;1056.88;0.62;0.14;323.69
11225.25;1059.32;0.64;0.14;317.15
11044.91;1048.8;0.62;0.14;324.62
11456.21;1095.78;0.63;0.14;326.9
11665.7;1237.32;0.63;0.14;329.95
11157.66;1169.63;0.59;0.13;315.82
11095.21;1161.91;0.59;0.13;314.38
9989.69;1058.1;0.5;0.11;273.61
10114.5;1106.14;0.5;0.13;270.24
9070.56;1021.27;0.41;0.1;241.3
8830.16;914.64;0.4;0.09;235.47
8994.91;941.8;0.45;0.1;246.86
8315.52;834.89;0.4;0.1;223.63
6852.05;684.31;0.31;0.07;179.28
7711.22;785.74;0.36;0.09;211.04
7611.61;751.89;0.33;0.1;208.4
8208.57;807.82;0.34;0.11;246.5
8650.72;871.33;0.38;0.12;256.41
8574.68;854.35;0.38;0.12;251.99
8168.64;817.29;0.36;0.12;232.74
8911.4;862.75;0.37;0.13;248.02
8518.27;833.78;0.35;0.11;233.76
9428.03;915.08;0.39;0.12;271.95
10112.58;928.29;0.39;0.14;303.98
10155.28;934.68;0.39;0.13;292.91
11006.65;964.28;0.41;0.14;324.64
10523.43;915.09;0.37;0.12;301.69
11103.09;928.29;0.37;0.13;315.75
11502.38;902.97;0.36;0.12;309.28
9973.59;809.13;0.32;0.11;283.38
10032.86;812.45;0.32;0.11;286.8
10301.88;864.67;0.33;0.11;286.97
9742.63;828.72;0.3;0.11;269.5
9699.52;842.63;0.33;0.11;279.72
10355.58;863.65;0.33;0.11;295.71
10709.39;869.26;0.33;0.11;303.51
10346.66;846.37;0.31;0.11;284.56
10859.55;855.68;0.3;0.11;310.93
11098.08;850.44;0.29;0.11;344.87
11356.04;844.26;0.29;0.11;354.15
11286.68;843.76;0.3;0.11;364.46
11526.42;840.15;0.3;0.11;374.38
10727.72;808.45;0.28;0.11;345.61
9999.68;752.59;0.24;0.09;340.53
9420.85;699.19;0.22;0.08;278.82
9276.34;710.89;0.21;0.08;279.18
8890.87;684.93;0.21;0.08;257.37
9512.46;713.2;0.22;0.09;280.9
9232.71;695.31;0.22;0.09;261.31
9216.53;684.64;0.22;0.1;251.25
8307.22;608.39;0.2;0.08;215.41
8359.37;612.44;0.19;0.09;215.87
8520.01;607.88;0.18;0.1;220.5
8063.41;560.11;0.16;0.09;200.93
8217.84;538.69;0.16;0.08;209.58
8640.52;555.08;0.19;0.09;217.04
8926.82;554.21;0.2;0.09;224.03
8970.32;561.15;0.22;0.09;219.76
8736.39;537.71;0.2;0.09;213.47
8824.59;538.11;0.19;0.09;214.41
8621.15;519.49;0.19;0.09;208.34
8478.64;519.38;0.18;0.09;212.27
8186.2;487.54;0.17;0.08;197.25
7836.76;449.05;0.16;0.08;189.05
7930.78;443.95;0.16;0.08;198.89
7126.9;385.33;0.15;0.07;177.15
6897.27;395.33;0.15;0.07;173.21
6975.28;395.8;0.16;0.07;180.19
6836.57;379.12;0.15;0.07;175.89
7080.42;384.83;0.16;0.07;177.98
7464.36;415.72;0.17;0.08;190.16
6845.32;380.28;0.16;0.07;170.79
6855.42;384.46;0.15;0.07;174.06
6628.75;369.91;0.14;0.07;162.03
6884.48;383.45;0.15;0.07;169.64
6984.81;396.98;0.16;0.07;173.3
6778.49;398.77;0.15;0.07;167.13
6829.32;412.69;0.16;0.08;165.8
6925.1;427.38;0.17;0.08;168.27
7836.4;488.61;0.21;0.09;190.37
7845.75;488.99;0.2;0.09;188.36
7897.72;495.11;0.2;0.1;188.6
8258.07;525.53;0.22;0.1;199.06
8031;507.11;0.26;0.1;193.84
7873.64;498.47;0.24;0.1;195.15
8097.42;517.37;0.26;0.1;227.67
