,Unnamed: 0,prices_value,market_caps_value,total_volumes_value
0,1,29352.13,54559328221525.0,3408971798809.0
1,0,29022.42,53943803643567.0,4350351656329.0
2,9,40296.53,74934720146264.0,5592180867154.0
3,2,32163.82,59788771305358.0,5727343664122.0
4,5,34082.21,63365167151940.0,6742050071552.0
5,6,36933.52,68274368356307.0,7102719589795.0
6,4,31515.58,58572627024879.0,7465716535623.0
7,7,39547.08,73533970736833.0,7864295982949.0
8,8,40815.96,75897101478736.0,8284646885635.0
9,3,33008.23,61361691762570.0,17889406836135.0
